Nama Tempat Makan;Tipe Masakan;Harga;Kalori(kkal);Menu;Bahan Makanan utama
WAROENG STEAK & SHAKE;goreng;19500;365;Chicken steak;ayam
WAROENG STEAK & SHAKE;goreng;21500;576;Sirloin;sapi
WAROENG STEAK & SHAKE;goreng;24000;309;Cordon Bleu;ayam
WAROENG STEAK & SHAKE;goreng;21500;257;steak burger beef;sapi
WAROENG STEAK & SHAKE;goreng;16000;358;nasi paprika ayam;ayam
WAROENG STEAK & SHAKE;rebus;14000;642;spaggheti;mie
WAROENG STEAK & SHAKE;goreng;23500;380;chicken mushroom steak;ayam
WAROENG STEAK & SHAKE;panggang;46500;644;ribeye import;sapi
WAROENG STEAK & SHAKE;goreng;19500;364;chicken drumstick;ayam
WAROENG STEAK & SHAKE;goreng;23000;110;tuna pepper;ikan
BASO MALANG KARAPITAN;kuah;24500;260;bakso malang campur;sapi
BASO MALANG KARAPITAN;kuah;27500;200;bakso seceng komplit;sapi
BASO MALANG KARAPITAN;kuah;28500;265;bakso rawit komplit;sapi
BASO MALANG KARAPITAN;kuah;38000;111;nasi sop daging iga;sapi
BASO MALANG KARAPITAN;kuah;30500;331;rawon bakso campur;sapi
BASO MALANG KARAPITAN;kuah;29500;421;bakmi keriting ayam;ayam
BASO MALANG KARAPITAN;goreng;23500;267;nasi goreng telor;nasi
BASO MALANG KARAPITAN;goreng;38000;395;batagor premium;ikan
BASO MALANG KARAPITAN;kukus;38000;361;siomay premium;ikan
BASO MALANG KARAPITAN;goreng;38000;435;nasi ayam kremes komplit;ayam
