Nama Tempat Makan;Tipe Masakan;Harga;Kalori (kkal);Menu;Bahan Makanan utama
PONDOK MAKAN IKAN CIANJUR;goreng;72000;137;gurame goreng;ikan
PONDOK MAKAN IKAN CIANJUR;goreng;72000;140;gurame asam manis;ikan
PONDOK MAKAN IKAN CIANJUR;panggang;83000;125;gurame sate renyes;ikan
PONDOK MAKAN IKAN CIANJUR;goreng;65000;274;nila pesmol;ikan
PONDOK MAKAN IKAN CIANJUR;goreng;65000;256;nila goreng ;ikan
PONDOK MAKAN IKAN CIANJUR;panggang;65000;200;nila bakar garing;ikan
PONDOK MAKAN IKAN CIANJUR;goreng;65000;150;mas bakar garing;ikan
PONDOK MAKAN IKAN CIANJUR;goreng;35000;368;nasi goreng teri;nasi
PONDOK MAKAN IKAN CIANJUR;goreng;63000;345;udang goreng mayonaise;ikan
PONDOK MAKAN IKAN CIANJUR;goreng;57000;122;lele cabe gendot;ikan
Upnormal Coffee Roasters Global Projec;goreng;12500;242;nasi telor kecap bunda;nasi
Upnormal Coffee Roasters Global Projec;goreng;31000;401;nasi sosis blackpaper;sapi
Upnormal Coffee Roasters Global Projec;goreng;40000;430;nasi wagyu saos mentega;sapi
Upnormal Coffee Roasters Global Projec;goreng;27000;510;indomie goreng mawut magelangan;mie
Upnormal Coffee Roasters Global Projec;rebus;21300;480;indomie saos telur asin goreng;mie
Upnormal Coffee Roasters Global Projec;rebus;14500;670;indomie goreng jumbo;mie
Upnormal Coffee Roasters Global Projec;rebus;24500;627;indomie gokil;mie
Upnormal Coffee Roasters Global Projec;rebus;11000;200;indomie rebus;mie
Upnormal Coffee Roasters Global Projec;goreng;26000;275;nasi bakso saos kecap;sapi
Upnormal Coffee Roasters Global Projec;goreng;29200;457;nasi ayam saos telor asin;ayam
